1, 60, Control_c, 10, 121, 0
1, 60, Control_c, 11, 121, 0
1, 60, Control_c, 12, 121, 0
1, 60, Control_c, 13, 121, 0
1, 60, Control_c, 14, 121, 0
1, 60, Control_c, 15, 121, 0
1, 120, Control_c, 1, 100, 0
1, 120, Control_c, 1, 101, 0
1, 120, Control_c, 1, 6, 2
1, 120, Control_c, 2, 100, 0
1, 120, Control_c, 2, 101, 0
1, 120, Control_c, 2, 6, 2
1, 120, Control_c, 3, 100, 0
1, 120, Control_c, 3, 101, 0
1, 120, Control_c, 3, 6, 2
1, 120, Control_c, 4, 100, 0
1, 120, Control_c, 4, 101, 0
1, 120, Control_c, 4, 6, 24
1, 120, Control_c, 5, 100, 0
1, 120, Control_c, 5, 101, 0
1, 120, Control_c, 5, 6, 24
1, 120, Control_c, 6, 100, 0
1, 120, Control_c, 6, 101, 0
1, 120, Control_c, 6, 6, 2
1, 120, Control_c, 7, 100, 0
1, 120, Control_c, 7, 101, 0
1, 120, Control_c, 7, 6, 2
1, 120, Control_c, 8, 100, 0
1, 120, Control_c, 8, 101, 0
1, 120, Control_c, 8, 6, 2
1, 120, Control_c, 10, 100, 0
1, 120, Control_c, 10, 101, 0
1, 120, Control_c, 10, 6, 2
1, 120, Control_c, 11, 100, 0
1, 120, Control_c, 11, 101, 0
1, 120, Control_c, 11, 6, 2
1, 120, Control_c, 12, 100, 0
1, 120, Control_c, 12, 101, 0
1, 120, Control_c, 12, 6, 2
1, 120, Control_c, 13, 100, 0
1, 120, Control_c, 13, 101, 0
1, 120, Control_c, 13, 6, 24
1, 120, Control_c, 14, 100, 0
1, 120, Control_c, 14, 101, 0
1, 120, Control_c, 14, 6, 24
1, 120, Control_c, 15, 100, 0
1, 120, Control_c, 15, 101, 0
1, 120, Control_c, 15, 6, 2
1, 180, Control_c, 1, 100, 127
1, 180, Control_c, 1, 101, 127
1, 180, Control_c, 2, 100, 127
1, 180, Control_c, 2, 101, 127
1, 180, Control_c, 3, 100, 127
1, 180, Control_c, 3, 101, 127
1, 180, Control_c, 4, 100, 127
1, 180, Control_c, 4, 101, 127
1, 180, Control_c, 5, 100, 127
1, 180, Control_c, 5, 101, 127
1, 180, Control_c, 6, 100, 127
1, 180, Control_c, 6, 101, 127
1, 180, Control_c, 7, 100, 127
1, 180, Control_c, 7, 101, 127
1, 180, Control_c, 8, 100, 127
1, 180, Control_c, 8, 101, 127
1, 180, Control_c, 10, 100, 127
1, 180, Control_c, 10, 101, 127
1, 180, Control_c, 11, 100, 127
1, 180, Control_c, 11, 101, 127
1, 180, Control_c, 12, 100, 127
1, 180, Control_c, 12, 101, 127
1, 180, Control_c, 13, 100, 127
1, 180, Control_c, 13, 101, 127
1, 180, Control_c, 14, 100, 127
1, 180, Control_c, 14, 101, 127
1, 180, Control_c, 15, 100, 127
1, 180, Control_c, 15, 101, 127
1, 480, Control_c, 1, 11, 127
1, 480, Control_c, 2, 11, 127
1, 480, Control_c, 3, 11, 127
1, 480, Control_c, 4, 11, 127
1, 480, Control_c, 5, 11, 127
1, 480, Control_c, 6, 11, 0
1, 480, Control_c, 7, 11, 127
1, 480, Control_c, 8, 11, 127
1, 480, Control_c, 10, 11, 127
1, 480, Control_c, 11, 11, 127
1, 480, Control_c, 12, 11, 127
1, 480, Control_c, 13, 11, 127
1, 480, Control_c, 14, 11, 127
1, 480, Control_c, 15, 11, 127
1, 960, Program_c, 1, 51
1, 960, Program_c, 2, 81
1, 960, Program_c, 3, 60
1, 960, Program_c, 4, 81
1, 960, Program_c, 5, 81
